GateV	--
-20	6.0359582221281E-7
-19.8999996185303	5.82014706651535E-7
-19.7999992370605	5.81251867970423E-7
-19.7000007629395	5.80233972868882E-7
-19.6000003814697	5.77617583985557E-7
-19.5	5.76397724216804E-7
-19.3999996185303	5.77832054204919E-7
-19.2999992370605	5.87943361551879E-7
-19.2000007629395	5.84895190058887E-7
-19.1000003814697	5.72028000078717E-7
-19	5.66600078855117E-7
-18.8999996185303	5.63569358291716E-7
-18.7999992370605	5.59011482437199E-7
-18.7000007629395	5.58497333713603E-7
-18.6000003814697	5.54692576315574E-7
-18.5	5.51161406292522E-7
-18.3999996185303	5.45633099591214E-7
-18.2999992370605	5.39248560471606E-7
-18.2000007629395	5.36384959559655E-7
-18.1000003814697	5.33956210801989E-7
-18	5.29487920175598E-7
-17.8999996185303	5.25063796885661E-7
-17.7999992370605	5.21880167525524E-7
-17.7000007629395	5.17180865244882E-7
-17.6000003814697	5.13862801199139E-7
-17.5	5.13312897965079E-7
-17.3999996185303	5.08327104853379E-7
-17.2999992370605	5.04697197811765E-7
-17.2000007629395	4.97639007335238E-7
-17.1000003814697	4.94104710924148E-7
-17	4.8934981577986E-7
-16.8999996185303	4.84542965750734E-7
-16.7999992370605	4.79672280562227E-7
-16.7000007629395	4.76370928481629E-7
-16.6000003814697	4.7073689302124E-7
-16.5	4.67359086542274E-7
-16.3999996185303	4.62170277160112E-7
-16.2999992370605	4.58672616332478E-7
-16.2000007629395	4.55790200248885E-7
-16.1000003814697	4.49667737711934E-7
-16	4.47053338348269E-7
-15.8999996185303	4.41781367044314E-7
-15.8000001907349	4.37749463344517E-7
-15.6999998092651	4.34105913882377E-7
-15.6000003814697	4.30408846341379E-7
-15.5	4.25904090661788E-7
-15.3999996185303	4.2267609501323E-7
-15.3000001907349	4.17709088651463E-7
-15.1999998092651	4.15976757039971E-7
-15.1000003814697	4.13029653145713E-7
-15	4.08709070143232E-7
-14.8999996185303	4.04329369985135E-7
-14.8000001907349	4.00690652213598E-7
-14.6999998092651	3.9930839079716E-7
-14.6000003814697	3.94913143964004E-7
-14.5	3.91851330050486E-7
-14.3999996185303	3.88132264106389E-7
-14.3000001907349	3.82458722469892E-7
-14.1999998092651	3.69228217778073E-7
-14.1000003814697	3.62500770734187E-7
-14	3.57877354417724E-7
-13.8999996185303	3.53900702521059E-7
-13.8000001907349	3.51321148173156E-7
-13.6999998092651	3.48108102343758E-7
-13.6000003814697	3.43406043157302E-7
-13.5	3.39376299507421E-7
-13.3999996185303	3.37237139547142E-7
-13.3000001907349	3.34689275405253E-7
-13.1999998092651	3.31633373207296E-7
-13.1000003814697	3.27754804629876E-7
-13	3.23595088502771E-7
-12.8999996185303	3.20778241302833E-7
-12.8000001907349	3.17033766350505E-7
-12.6999998092651	3.14164793735472E-7
-12.6000003814697	3.10407472170482E-7
-12.5	3.06670159488931E-7
-12.3999996185303	3.03651120248105E-7
-12.3000001907349	3.00226105309775E-7
-12.1999998092651	2.95823440410459E-7
-12.1000003814697	2.91832918719592E-7
-12	2.87901855244854E-7
-11.8999996185303	2.84093147229214E-7
-11.8000001907349	2.79703755268201E-7
-11.6999998092651	2.75227591828298E-7
-11.6000003814697	2.71582109689916E-7
-11.5	2.67890669647386E-7
-11.3999996185303	2.64800092963924E-7
-11.3000001907349	2.61094925235739E-7
-11.1999998092651	2.57697109873334E-7
-11.1000003814697	2.53722959087099E-7
-11	2.50324518447087E-7
-10.8999996185303	2.45016053668223E-7
-10.8000001907349	2.42438744635365E-7
-10.6999998092651	2.38988832279574E-7
-10.6000003814697	2.35089345324013E-7
-10.5	2.31632128588899E-7
-10.3999996185303	2.28021349357732E-7
-10.3000001907349	2.2468475435744E-7
-10.1999998092651	2.19653642830053E-7
-10.1000003814697	2.17348556930119E-7
-10	2.14748951066213E-7
-9.89999961853027	2.10774587117157E-7
-9.80000019073486	2.06180942541323E-7
-9.69999980926514	2.03568973233814E-7
-9.60000038146973	2.00393500904283E-7
-9.5	1.96719099676557E-7
-9.39999961853027	1.93957987448812E-7
-9.30000019073486	1.90818042256069E-7
-9.19999980926514	1.87162157772036E-7
-9.10000038146973	1.83955890520338E-7
-9	1.8121713196706E-7
-8.89999961853027	1.78404121697895E-7
-8.80000019073486	1.74865775193211E-7
-8.69999980926514	1.71868947518306E-7
-8.60000038146973	1.67962710406755E-7
-8.5	1.65351423220272E-7
-8.39999961853027	1.62091481570315E-7
